月份,項目,金額,數量,比率,來源,單位,客戶,耗時分鐘
2026/7/10,完成,69.34,166,36.5,,製造,大宏,235
6月2日,中段,75.21,97,12.32,,研發,力鋼,83
0714,前段,36.16,188,72.97,已回報,資材,捷欣,1
7月18日,後段,31.17,,74.58,,資材,捷欣,114
7月28日,前段,63.87,209,76.66,,營運,大宏,147
0629,完成,27.1,91,46.21,,製造,力鋼,87
2026/6/27,前段,20.46,120,22.62,,製造,東昇,145
2026/7/3,前段,67.05,,44.55,已回報,製造,順發,201
2026/6/12,中段,62.9,224,56.7,,品保,順發,124
2026/7/21,後段,89.53,,18.77,,研發,順發,24
6月15日,後段,42.6,,62.19,,品保,東昇,149
2026/7/26,中段,45.07,114,52.36,,營運,力鋼,99
0719,中段,84.0,170,68.06,,製造,大宏,30
7月10日,完成,64.74,106,39.53,,營運,東昇,181
6月6日,後段,71.25,51,74.22,,研發,東昇,102
6月19日,中段,9.66,57,53.28,已回報,製造,捷欣,135
0603,後段,85.0,167,73.65,,製造,捷欣,25
2026/7/10,後段,95.86,206,60.97,,製造,捷欣,91
0701,後段,79.45,,72.94,待確認,製造,東昇,231
6月6日,中段,80.39,,26.37,,資材,東昇,30
2026/7/21,前段,58.11,193,26.56,,研發,永利,34
0706,完成,80.05,28,5.35,已回報,營運,永利,214
2026/7/27,後段,78.47,39,72.32,,資材,力鋼,233
0618,完成,8.67,122,73.5,待確認,營運,力鋼,192
6月18日,前段,58.79,,17.36,,品保,順發,239
7月14日,後段,36.99,77,3.89,待確認,品保,東昇,148
2026/6/30,前段,26.15,202,51.69,,製造,順發,112
7月25日,中段,26.86,230,5.47,,研發,捷欣,226
0703,前段,91.28,,93.4,,製造,東昇,84
0603,中段,37.72,89,59.19,,營運,大宏,91
2026/7/16,中段,60.09,111,92.71,,品保,東昇,46
2026/6/13,前段,20.7,79,34.13,,資材,大宏,92
2026/6/1,中段,60.99,,53.67,,資材,永利,147
7月2日,完成,83.11,133,2.52,,研發,永利,81
0704,中段,0.44,,49.4,待確認,研發,永利,99
0716,前段,95.33,7,13.39,,製造,捷欣,176
0709,完成,37.94,97,44.6,已回報,營運,東昇,158
0615,中段,53.26,6,22.62,,製造,力鋼,224
2026/7/9,完成,67.46,99,11.52,已回報,研發,東昇,174
6月24日,後段,55.11,,65.0,待確認,研發,順發,40
6月23日,完成,25.61,175,21.33,已回報,資材,大宏,132
0729,後段,11.26,120,47.61,,研發,捷欣,51
0728,前段,12.63,146,37.89,,研發,順發,189
0730,前段,65.73,62,38.85,,研發,大宏,176
2026/6/15,完成,45.17,54,12.59,,資材,東昇,80
2026/7/27,後段,69.32,,38.34,已回報,製造,永利,72
2026/6/20,前段,42.51,,15.93,,研發,順發,123
6月2日,前段,86.75,,37.2,待確認,研發,順發,165
7月22日,完成,20.67,,3.47,,製造,力鋼,116
6月12日,前段,11.66,63,81.67,,資材,大宏,234
2026/7/8,前段,12.62,,58.72,已回報,資材,力鋼,220
0729,後段,32.88,140,53.39,待確認,資材,捷欣,210
2026/7/16,前段,11.55,,52.05,已回報,製造,東昇,23
6月16日,前段,64.05,146,54.93,,製造,永利,206
2026/6/18,前段,22.5,215,3.14,,資材,大宏,119
7月25日,完成,93.46,150,44.9,待確認,製造,捷欣,102
0612,後段,22.45,165,62.08,,資材,東昇,218
2026/6/17,中段,97.22,139,48.24,,品保,東昇,71
2026/7/26,前段,5.03,53,86.41,,品保,大宏,167
2026/6/25,前段,69.38,,64.77,待確認,資材,捷欣,131
0721,後段,86.83,209,86.36,,品保,捷欣,67
0602,完成,0.37,,74.9,,研發,永利,65
2026/6/21,完成,35.33,123,4.34,,品保,順發,108
2026/6/21,中段,89.91,214,36.31,已回報,品保,東昇,230
0622,中段,23.74,191,34.76,待確認,品保,捷欣,189
0611,中段,51.57,,60.4,,製造,捷欣,167
6月7日,中段,88.51,53,97.54,待確認,營運,大宏,43
0720,中段,86.66,183,75.54,,營運,大宏,67
7月7日,中段,57.72,169,81.08,已回報,研發,東昇,12
0618,中段,21.17,,29.71,已回報,研發,力鋼,2
7月30日,後段,54.03,108,22.97,,研發,順發,36
6月11日,後段,24.3,45,79.87,,製造,順發,94
2026/6/9,中段,62.57,128,25.61,,製造,東昇,220
0614,中段,6.2,223,44.0,待確認,品保,永利,91
0616,完成,44.17,,61.84,待確認,製造,東昇,221
0703,完成,77.41,208,56.87,,資材,永利,190
0723,中段,77.69,7,3.24,已回報,資材,大宏,184
7月6日,後段,45.54,120,68.78,待確認,製造,大宏,125
6月13日,完成,32.66,44,27.13,待確認,品保,東昇,237
2026/6/1,後段,54.07,167,47.89,已回報,營運,捷欣,75
6月30日,後段,35.98,147,57.15,,研發,力鋼,119
2026/7/30,中段,39.98,193,85.31,,營運,順發,219
2026/7/8,前段,12.62,,58.72,已回報,資材,力鋼,220
7月4日,中段,42.62,,28.2,,研發,順發,66
7月24日,完成,23.0,3,33.59,待確認,製造,捷欣,144
2026/7/26,後段,32.65,129,83.76,待確認,研發,大宏,238
2026/7/23,中段,69.08,,91.85,,製造,東昇,187
2026/6/30,中段,10.02,58,94.37,,營運,捷欣,22
0706,完成,69.11,,7.07,已回報,製造,東昇,218
2026/7/14,中段,95.18,227,88.74,已回報,研發,大宏,197
2026/7/8,後段,94.52,213,15.47,,品保,大宏,77
2026/6/14,中段,4.14,,53.39,已回報,品保,順發,191
0602,中段,49.83,189,91.07,,資材,捷欣,166
6月8日,後段,85.14,,35.66,待確認,品保,力鋼,84
0721,完成,49.84,,48.54,,製造,永利,170
2026/6/21,完成,19.91,,83.71,已回報,製造,順發,41
2026/6/28,後段,63.76,17,89.52,,製造,永利,127
2026/6/29,中段,71.86,,58.05,,製造,捷欣,1
2026/6/10,前段,29.35,,89.11,,製造,捷欣,118
6月13日,後段,44.48,,83.82,待確認,營運,順發,118
6月26日,完成,15.1,147,12.43,已回報,製造,東昇,220
2026/6/5,後段,93.06,48,95.07,待確認,品保,力鋼,127
0711,前段,53.28,199,13.82,,品保,捷欣,85
2026/6/13,前段,14.72,9,74.29,,品保,東昇,123
7月20日,中段,24.59,,38.47,,營運,順發,28
2026/7/7,中段,45.95,216,51.22,,營運,順發,73
6月22日,中段,7.72,161,0.94,已回報,品保,大宏,64
2026/7/6,前段,35.51,161,72.08,待確認,資材,大宏,108
2026/6/27,完成,91.44,24,86.9,待確認,製造,永利,169
0625,前段,40.68,45,75.0,,研發,東昇,3
0611,完成,81.14,211,4.9,,品保,順發,164
6月21日,中段,72.59,146,90.99,待確認,資材,捷欣,222
2026/7/18,後段,73.62,114,28.71,,資材,永利,220
0716,完成,2.76,52,25.6,,營運,東昇,72
2026/7/2,完成,0.44,116,23.67,,研發,力鋼,108
6月24日,中段,35.06,,41.53,已回報,營運,永利,178
6月4日,中段,96.17,103,36.56,,品保,力鋼,25
6月16日,完成,14.66,60,20.17,待確認,研發,大宏,127
2026/6/13,中段,58.24,,80.58,待確認,製造,東昇,18
6月22日,完成,34.24,117,46.26,待確認,品保,東昇,202
2026/7/18,完成,25.07,175,12.57,待確認,營運,大宏,24
2026/6/11,中段,81.1,145,79.15,,品保,順發,101
7月28日,後段,63.49,6,15.68,,品保,東昇,14
2026/7/16,後段,15.39,,96.36,待確認,研發,永利,12
2026/7/6,後段,77.2,,77.72,待確認,品保,力鋼,41
0711,後段,75.25,13,87.06,,品保,力鋼,204
6月25日,中段,57.81,59,19.11,已回報,研發,大宏,158
2026/6/27,前段,93.49,,66.67,待確認,製造,順發,81
6月10日,前段,5.1,,2.48,,製造,永利,159
0604,中段,74.48,38,73.9,待確認,品保,大宏,65
0729,完成,7.01,,70.43,待確認,資材,永利,205
6月27日,中段,9.4,137,68.28,,資材,捷欣,127
2026/7/13,中段,25.13,,44.81,,製造,捷欣,98
2026/7/18,前段,27.87,41,45.64,待確認,製造,永利,216
0621,中段,50.19,200,62.75,待確認,資材,大宏,224
2026/7/19,完成,0.47,40,31.28,待確認,資材,永利,57
7月24日,後段,25.73,2,50.6,已回報,製造,力鋼,75
2026/6/11,中段,60.99,159,84.96,待確認,品保,力鋼,148
6月22日,前段,8.97,27,21.4,,營運,順發,147
2026/6/2,前段,41.05,2,63.08,已回報,資材,東昇,157
2026/7/22,中段,68.77,189,41.97,,品保,東昇,44
2026/7/24,後段,13.83,82,79.93,已回報,研發,大宏,118
6月16日,後段,88.96,,51.2,,營運,捷欣,189
7月21日,中段,4.36,180,32.77,待確認,製造,大宏,3
0630,後段,57.89,55,85.55,已回報,研發,力鋼,152
6月28日,中段,53.78,98,54.94,,營運,東昇,93
7月8日,完成,7.81,135,81.32,已回報,製造,東昇,63
0724,完成,60.99,238,14.06,待確認,營運,大宏,194
7月19日,後段,35.59,215,70.06,已回報,研發,永利,153
6月18日,後段,60.95,4,12.92,,研發,東昇,194
0618,完成,84.89,238,56.22,已回報,資材,永利,181
7月14日,中段,32.33,143,8.44,待確認,製造,大宏,175
6月2日,前段,86.47,,1.94,已回報,製造,永利,206
6月10日,中段,81.08,45,54.79,,研發,捷欣,76
0613,後段,47.87,,31.02,已回報,研發,永利,62
6月24日,完成,49.07,,53.25,,品保,永利,110
6月5日,後段,87.62,176,86.87,待確認,資材,永利,208
6月27日,後段,18.05,104,88.98,,營運,力鋼,221
7月10日,前段,46.08,,43.34,,製造,捷欣,225
2026/7/16,中段,26.77,225,93.12,,製造,力鋼,226
0608,中段,42.7,191,41.6,,營運,捷欣,155
2026/7/7,前段,71.57,120,28.96,,品保,順發,40
7月17日,前段,67.0,204,26.34,,資材,永利,206
0714,前段,28.37,11,59.0,待確認,製造,永利,168
0622,完成,57.54,224,59.52,,製造,順發,100
0707,完成,57.16,126,36.47,待確認,營運,東昇,94
6月28日,後段,86.39,193,16.92,已回報,資材,力鋼,205
0727,中段,43.27,161,7.65,,營運,永利,181
2026/7/26,完成,88.35,3,60.89,,資材,力鋼,51
2026/6/24,中段,80.86,52,8.19,已回報,資材,捷欣,177
0715,中段,79.05,,35.17,待確認,營運,永利,32
2026/7/29,完成,5.58,,76.3,待確認,研發,大宏,169
2026/7/29,後段,27.56,210,26.04,,研發,永利,72
2026/6/26,中段,69.3,167,12.56,,製造,捷欣,205
2026/7/4,完成,89.97,67,30.38,,製造,東昇,3
0619,後段,35.77,,3.27,待確認,營運,捷欣,103
0626,前段,15.93,24,42.6,,營運,大宏,43
7月9日,中段,84.41,,53.48,,研發,大宏,191
0623,完成,45.27,,14.55,已回報,製造,大宏,200
7月25日,前段,10.18,105,50.61,已回報,研發,捷欣,169
2026/6/10,前段,84.77,47,10.75,,資材,東昇,165
0712,中段,77.66,,56.11,,品保,東昇,132
2026/7/16,後段,47.31,204,73.02,,研發,大宏,173
0603,前段,81.04,45,8.15,,資材,順發,149
2026/7/6,前段,25.16,,30.02,,資材,順發,142
0704,完成,90.04,49,38.09,,製造,力鋼,95
2026/7/26,中段,23.74,9,52.13,,品保,大宏,88
6月5日,前段,33.77,46,83.64,,製造,大宏,55
2026/7/1,中段,43.25,142,46.68,待確認,製造,東昇,177
7月5日,完成,14.47,52,25.95,,品保,大宏,232
0616,完成,49.2,123,26.86,待確認,營運,大宏,156
6月20日,中段,87.73,,10.16,待確認,製造,捷欣,155
7月4日,前段,79.01,,38.64,已回報,營運,順發,105
6月25日,完成,93.71,,28.0,,製造,順發,78
7月19日,後段,81.62,183,11.94,待確認,品保,捷欣,54
2026/7/2,前段,8.95,,37.39,已回報,營運,捷欣,18
0728,完成,10.1,61,24.85,已回報,研發,順發,145
2026/7/16,中段,1.94,187,39.84,,資材,力鋼,217
0722,前段,40.72,96,13.64,,製造,永利,169
2026/6/22,前段,51.91,,58.83,已回報,品保,捷欣,98
2026/6/15,中段,60.46,9,63.92,已回報,品保,力鋼,17
7月2日,後段,4.38,10,65.38,待確認,資材,順發,9
7月27日,中段,59.86,48,8.25,待確認,研發,東昇,207
2026/6/6,完成,83.88,125,47.64,,資材,捷欣,159
2026/7/11,前段,6.46,49,31.96,,製造,力鋼,150
2026/7/27,前段,91.7,184,66.8,,研發,順發,45
7月15日,完成,24.21,,24.09,,營運,永利,131
0730,完成,84.34,207,59.58,待確認,資材,大宏,16
0627,後段,91.19,14,26.01,已回報,製造,大宏,21
7月5日,中段,16.04,194,93.07,,研發,永利,52
2026/6/29,前段,78.79,180,69.45,已回報,製造,力鋼,165
2026/6/12,中段,19.08,229,63.17,,資材,大宏,98
0707,前段,87.7,6,84.9,,資材,捷欣,123
0727,完成,53.7,16,79.27,,資材,大宏,53
6月3日,中段,12.99,162,34.67,已回報,營運,大宏,56
0715,中段,1.79,143,26.01,,研發,大宏,79
2026/6/5,中段,33.31,196,0.9,,資材,力鋼,100
7月17日,完成,96.36,,48.07,已回報,製造,永利,117
7月1日,前段,11.85,99,53.14,,資材,東昇,112
0704,後段,70.63,3,44.57,,研發,捷欣,58
2026/6/14,中段,33.76,110,75.9,已回報,研發,力鋼,25
6月15日,中段,6.18,147,25.91,,研發,力鋼,226
7月4日,中段,93.57,8,61.79,,研發,永利,46
2026/6/20,中段,8.05,,18.14,已回報,營運,順發,78
6月26日,完成,47.67,,54.59,,營運,力鋼,240
0606,後段,31.84,106,18.8,,品保,東昇,106
7月7日,完成,92.75,20,14.62,,營運,順發,61
0618,前段,70.02,121,65.0,已回報,品保,東昇,12
2026/7/4,中段,40.99,,97.17,,製造,力鋼,211
7月21日,中段,95.6,39,94.98,,品保,力鋼,166
0727,前段,49.12,220,11.7,,品保,大宏,203
0625,完成,62.02,58,17.1,,資材,東昇,57
7月9日,完成,3.59,123,94.81,,製造,東昇,184
2026/6/2,中段,16.41,225,42.58,,製造,東昇,145
6月30日,前段,92.06,223,9.63,,研發,大宏,228
0607,後段,33.26,86,86.62,,營運,力鋼,122
6月23日,後段,70.32,,20.24,待確認,研發,捷欣,24
0713,完成,35.32,123,65.5,,製造,捷欣,78
2026/7/21,中段,22.76,26,32.81,,品保,大宏,179
0706,後段,87.67,,78.69,待確認,資材,力鋼,147
6月4日,前段,69.32,61,60.06,,營運,力鋼,205
0712,完成,50.63,217,19.22,已回報,營運,東昇,152
6月22日,前段,3.3,112,11.32,待確認,研發,東昇,178
0707,前段,90.68,,53.22,,品保,大宏,121
6月30日,中段,47.9,182,97.2,已回報,製造,力鋼,90
0605,後段,85.63,131,57.47,已回報,營運,順發,226
2026/7/6,完成,16.58,,56.53,已回報,營運,順發,206
6月28日,前段,52.7,82,33.45,,品保,東昇,54
2026/7/10,中段,50.5,,11.89,已回報,品保,力鋼,206
0724,後段,19.79,,26.96,,研發,東昇,168
0724,中段,86.13,214,31.25,待確認,研發,東昇,179
7月13日,完成,77.48,138,76.62,待確認,研發,東昇,87
0614,中段,60.82,,73.75,已回報,研發,東昇,87
2026/6/3,中段,38.05,123,85.65,,品保,捷欣,86
0718,中段,94.48,143,4.84,,研發,東昇,233
0728,後段,5.61,173,20.56,,製造,大宏,229
6月3日,完成,13.59,27,30.0,,製造,捷欣,105
7月5日,前段,34.66,218,33.16,待確認,資材,順發,26
0601,前段,34.08,,38.29,,研發,東昇,45
2026/6/2,後段,25.76,,2.46,,品保,力鋼,98
0601,中段,46.72,90,57.89,已回報,研發,永利,101
2026/6/10,前段,49.52,188,23.29,,資材,力鋼,126
6月9日,中段,65.05,,26.14,已回報,營運,捷欣,103
7月30日,完成,57.03,113,34.89,,資材,順發,197
0723,中段,32.3,168,90.1,,營運,永利,208
0718,後段,68.01,185,6.27,待確認,製造,力鋼,134
0628,後段,97.95,,43.02,,研發,大宏,232
7月13日,完成,44.92,235,73.44,已回報,營運,力鋼,140
6月27日,前段,62.26,229,10.43,已回報,品保,永利,92
6月28日,後段,80.49,181,91.98,,資材,順發,239
2026/7/15,完成,32.76,182,12.25,,營運,永利,224
6月8日,中段,61.26,3,37.37,,品保,東昇,106
0618,後段,5.95,47,71.15,,營運,力鋼,224
0603,前段,9.78,,67.52,,研發,東昇,11
7月20日,完成,15.97,,23.59,待確認,製造,永利,133
0726,完成,25.04,234,47.18,,資材,大宏,193
2026/6/3,前段,29.68,132,44.04,,資材,大宏,23
7月19日,後段,2.11,34,58.36,,品保,順發,49
0601,後段,37.96,,30.9,待確認,研發,順發,110
2026/6/29,後段,30.8,45,84.13,待確認,營運,捷欣,98
0623,中段,10.61,,91.13,待確認,品保,順發,24
2026/7/7,完成,6.99,224,68.74,已回報,營運,順發,191
0606,完成,79.71,,81.87,待確認,製造,順發,156
2026/6/11,後段,49.31,139,20.89,待確認,資材,捷欣,219
2026/7/15,完成,64.47,13,41.39,已回報,營運,東昇,23
7月16日,完成,92.02,64,35.51,,研發,大宏,20
2026/7/10,中段,25.47,,30.47,待確認,研發,永利,79
6月16日,完成,20.34,,0.7,,製造,大宏,85
0704,前段,39.38,27,72.45,,研發,捷欣,13
0606,後段,38.88,,13.79,,資材,永利,147
2026/6/21,後段,80.39,121,64.2,待確認,製造,永利,13
7月3日,前段,58.62,,36.36,已回報,資材,順發,184
0702,完成,56.85,140,83.54,,研發,順發,209
2026/6/19,中段,73.86,215,85.16,,製造,捷欣,176
2026/7/21,前段,41.95,40,62.86,,資材,捷欣,132
2026/7/20,中段,75.38,57,10.23,已回報,資材,永利,162
2026/6/23,中段,78.92,129,15.25,已回報,品保,東昇,15
6月1日,完成,15.83,200,62.99,已回報,研發,東昇,236
7月10日,中段,91.43,220,59.4,已回報,資材,順發,43
0622,中段,3.03,111,70.26,已回報,資材,永利,93
2026/7/3,中段,44.12,125,82.79,,資材,永利,47
0703,完成,12.0,38,59.96,,品保,順發,156
6月26日,中段,19.37,48,72.37,,製造,順發,137
0703,中段,2.14,52,69.66,已回報,研發,順發,182
7月15日,完成,23.08,201,70.11,已回報,製造,捷欣,240
2026/6/25,前段,24.51,190,62.99,,製造,東昇,234
0628,完成,76.79,,36.83,,品保,大宏,81
2026/6/8,後段,9.86,172,76.01,待確認,研發,東昇,201
2026/6/18,後段,21.8,174,6.05,,研發,永利,51
7月16日,中段,29.62,,64.85,,資材,永利,180
2026/7/27,後段,14.54,231,47.33,,研發,東昇,197
0727,中段,74.67,232,15.62,,營運,大宏,151
2026/7/10,中段,47.01,83,63.29,待確認,品保,大宏,234
0713,後段,32.96,232,82.0,,研發,力鋼,58
0629,前段,54.52,105,13.09,,品保,永利,66
7月23日,完成,52.09,177,44.24,待確認,製造,大宏,15
6月22日,中段,79.49,,66.82,,資材,永利,32
6月8日,後段,97.98,8,93.77,已回報,研發,永利,43
6月15日,前段,88.31,163,30.41,,營運,力鋼,25
2026/6/20,後段,87.78,50,42.22,,品保,東昇,239
6月1日,後段,10.82,62,60.13,,營運,永利,128
2026/6/23,完成,83.19,62,17.76,,資材,捷欣,124
2026/6/24,前段,91.79,42,30.62,,資材,大宏,184
7月18日,前段,97.36,,79.35,,資材,捷欣,135
2026/6/16,中段,46.03,169,96.23,已回報,營運,捷欣,107
7月10日,中段,74.71,120,66.91,待確認,製造,捷欣,28
6月6日,完成,25.92,154,26.52,,營運,捷欣,112
2026/6/24,完成,77.48,12,27.01,,資材,東昇,134
0613,前段,96.13,74,70.14,,資材,力鋼,45
6月23日,完成,96.57,225,17.84,待確認,資材,東昇,75
2026/6/30,完成,82.53,40,13.93,,品保,力鋼,35
6月6日,前段,42.03,204,24.59,,品保,東昇,83
7月13日,前段,80.97,,36.18,,研發,順發,63
7月30日,完成,32.11,38,77.64,待確認,品保,力鋼,211
0703,前段,61.82,225,33.93,已回報,研發,東昇,66
7月26日,前段,85.63,145,23.25,,研發,順發,15
0624,後段,94.94,,29.44,,品保,捷欣,98
2026/6/16,完成,47.48,59,10.85,,研發,順發,28
2026/7/10,完成,68.28,188,14.27,已回報,製造,力鋼,176
7月24日,完成,0.49,2,90.68,待確認,製造,順發,207
2026/6/18,後段,0.22,170,64.82,,品保,力鋼,60
0725,完成,17.38,172,31.36,,營運,東昇,98
7月7日,前段,93.59,192,88.67,待確認,營運,大宏,132
0604,中段,2.44,136,76.06,,資材,大宏,162
0606,完成,65.65,,51.61,,製造,力鋼,220
2026/6/9,完成,18.49,114,33.84,待確認,營運,捷欣,5
2026/6/21,後段,95.71,237,3.52,已回報,製造,永利,160
6月24日,完成,45.81,,23.44,,研發,捷欣,144
0607,前段,69.75,9,8.89,已回報,品保,大宏,211
0730,前段,84.17,,24.04,已回報,資材,順發,194
0720,中段,28.02,93,55.08,,營運,捷欣,168
6月16日,完成,59.17,88,87.63,,資材,力鋼,115
2026/7/4,前段,72.75,28,12.89,,資材,力鋼,167
0611,後段,14.18,119,95.75,,製造,捷欣,145
6月5日,前段,68.54,5,10.67,已回報,營運,順發,190
6月17日,前段,45.04,,95.64,,製造,捷欣,38
0704,前段,95.95,228,47.86,,研發,永利,174
6月5日,完成,45.0,76,1.46,已回報,資材,東昇,16
7月16日,完成,7.93,234,8.38,,製造,東昇,12
6月16日,中段,38.01,,54.94,,研發,捷欣,82
2026/7/12,後段,18.86,79,61.61,已回報,資材,力鋼,78
2026/7/20,中段,29.04,89,81.31,已回報,資材,大宏,162
6月6日,中段,94.7,,48.54,待確認,營運,東昇,12
2026/6/1,完成,2.56,78,12.74,,製造,力鋼,74
0604,後段,47.46,148,52.84,,營運,力鋼,117
0628,後段,61.61,156,28.51,,資材,東昇,132
0722,完成,27.36,23,29.15,已回報,品保,捷欣,151
2026/7/10,完成,26.42,,75.17,待確認,品保,永利,202
7月1日,前段,54.53,36,82.74,,品保,力鋼,33
6月30日,中段,85.77,,78.32,,製造,捷欣,3
0622,前段,72.62,78,37.71,,製造,捷欣,170
0722,完成,5.25,,48.9,,資材,東昇,206
2026/6/16,前段,92.14,71,7.89,,資材,東昇,70
2026/7/27,中段,97.11,91,10.25,待確認,營運,順發,84
0723,前段,31.47,156,51.77,,製造,大宏,110
7月6日,中段,44.5,159,11.95,,營運,力鋼,141
0628,中段,61.48,221,75.32,已回報,研發,順發,11
0618,後段,35.99,68,20.6,已回報,營運,順發,225
0624,前段,78.03,193,93.61,已回報,資材,東昇,226
2026/7/14,中段,83.16,159,30.05,,研發,捷欣,88
0615,後段,71.01,61,31.08,待確認,資材,力鋼,11
7月27日,前段,17.52,,54.12,已回報,研發,捷欣,80
2026/6/27,完成,36.44,108,83.06,,品保,大宏,107
7月20日,完成,53.98,,81.69,,研發,大宏,161
7月29日,前段,67.91,95,27.28,,製造,順發,239
2026/6/14,中段,15.22,,77.44,,品保,東昇,207
0728,前段,47.82,103,49.22,待確認,品保,順發,161
0622,完成,81.23,135,56.42,,研發,捷欣,225
0706,中段,93.11,123,78.8,,研發,順發,226
7月12日,前段,13.5,214,78.89,已回報,品保,大宏,75
0707,完成,71.99,17,70.73,,品保,力鋼,224
2026/6/16,前段,75.36,,28.2,,研發,力鋼,16
0620,前段,10.09,,4.14,,製造,東昇,18
7月7日,完成,14.3,,76.38,,研發,捷欣,212
7月1日,前段,34.45,9,92.81,,營運,順發,214
0622,後段,92.1,32,71.79,,製造,順發,65
7月12日,中段,51.9,82,71.43,,製造,東昇,14
0719,後段,31.9,170,77.26,已回報,製造,順發,149
7月29日,後段,44.92,233,19.68,,品保,大宏,152
2026/6/4,中段,6.66,152,94.22,待確認,品保,捷欣,221
7月18日,完成,64.12,70,17.56,已回報,品保,大宏,60
0626,中段,82.71,65,58.25,,品保,順發,219
0705,後段,66.61,169,49.19,已回報,營運,大宏,77
0710,中段,35.84,87,7.58,,製造,順發,235
6月27日,中段,6.51,229,35.88,,製造,力鋼,152
2026/7/11,後段,30.8,,73.29,待確認,營運,大宏,147
2026/6/6,前段,67.5,46,54.85,待確認,營運,永利,11
2026/6/15,前段,77.1,118,50.76,,製造,大宏,80
2026/6/9,完成,48.71,,19.8,,品保,力鋼,87
2026/7/25,後段,32.94,164,54.68,已回報,品保,東昇,49
2026/7/17,後段,35.19,,21.56,,研發,大宏,198
6月18日,完成,90.9,26,63.85,待確認,研發,東昇,128
2026/6/13,完成,21.59,16,0.54,,營運,捷欣,150
7月2日,前段,16.91,157,53.24,,資材,大宏,116
7月26日,前段,34.96,68,22.86,已回報,營運,永利,19
0706,前段,22.2,150,80.89,待確認,營運,永利,28
7月23日,完成,96.12,,23.41,,營運,東昇,180
2026/7/28,後段,25.25,,79.96,,資材,力鋼,110
2026/6/25,後段,47.9,1,62.84,,研發,東昇,9
2026/6/12,中段,85.99,160,44.42,,資材,東昇,157
6月24日,前段,35.6,40,38.56,,研發,捷欣,49
0702,前段,92.53,111,96.97,待確認,品保,大宏,187
2026/6/22,後段,22.51,,35.31,,製造,力鋼,8
2026/7/26,完成,0.22,111,38.8,,營運,順發,138
6月19日,完成,62.81,,23.54,,研發,力鋼,155
6月11日,中段,88.05,96,13.12,已回報,研發,東昇,133
0714,後段,27.57,220,34.93,,研發,順發,195
2026/7/16,中段,12.52,149,58.66,,品保,力鋼,50
0611,中段,59.11,153,17.69,待確認,資材,力鋼,226
2026/6/24,完成,16.02,,81.43,待確認,營運,永利,24
0713,完成,90.29,9,48.43,,營運,東昇,45
0715,前段,62.45,147,97.25,,營運,力鋼,212
2026/7/6,前段,13.53,128,88.17,,研發,捷欣,234
0706,前段,56.2,,68.03,已回報,製造,捷欣,237
0622,中段,690.0,,86.26,,資材,東昇,159
0612,後段,23.33,218,21.85,待確認,研發,捷欣,90
0616,中段,18.78,230,79.82,已回報,營運,力鋼,114
2026/7/2,完成,46.36,199,56.05,,營運,永利,63
0717,完成,65.54,30,16.71,,營運,捷欣,8
6月4日,後段,48.19,165,74.85,,研發,順發,197
0727,完成,60.34,,22.35,已回報,品保,永利,37
6月28日,前段,75.05,,35.97,待確認,營運,捷欣,109
6月15日,後段,52.81,58,0.38,,資材,永利,176
7月15日,中段,50.02,225,15.87,,品保,永利,79
2026/6/17,完成,67.35,232,86.19,已回報,製造,東昇,146
2026/6/13,前段,79.53,,70.17,,研發,永利,200
0703,中段,38.9,1,87.38,,資材,永利,156
0702,完成,86.37,229,84.62,,研發,力鋼,6
2026/7/7,前段,41.0,164,73.46,已回報,品保,東昇,202
0714,完成,26.34,87,11.7,,品保,永利,91
7月7日,後段,82.57,218,11.19,已回報,資材,東昇,201
2026/6/22,完成,81.78,,25.63,待確認,研發,永利,31
6月13日,前段,62.74,80,85.87,已回報,製造,永利,137
6月17日,前段,25.32,106,50.77,,製造,大宏,47
6月24日,前段,42.37,100,86.97,,品保,捷欣,32
2026/6/17,前段,56.33,179,25.92,,營運,東昇,76
7月21日,中段,17.96,155,2.51,,製造,大宏,142
0622,完成,11.73,7,13.73,,研發,力鋼,98
0628,完成,62.8,6,59.01,已回報,資材,捷欣,154
7月30日,前段,24.38,4,39.22,待確認,研發,順發,163
0706,後段,86.93,198,79.97,,品保,順發,155
7月24日,後段,34.73,222,56.8,已回報,營運,大宏,203
2026/6/12,完成,32.73,164,21.85,,品保,順發,122
7月1日,完成,58.01,,43.88,,營運,順發,144
7月3日,完成,14.28,,89.73,,研發,東昇,125
7月20日,後段,97.07,37,74.56,,製造,永利,119
7月5日,後段,16.31,73,22.03,已回報,資材,大宏,74
2026/7/16,前段,85.02,53,95.42,待確認,研發,捷欣,196
2026/6/15,中段,34.03,228,83.4,已回報,資材,力鋼,220
6月28日,中段,96.12,220,97.44,,製造,東昇,165
6月26日,完成,24.2,,57.16,待確認,製造,順發,38
2026/7/24,後段,21.48,25,97.97,,資材,順發,46
0713,完成,2.82,165,72.62,待確認,製造,永利,28
6月3日,完成,11.34,173,33.02,,營運,捷欣,217
0620,完成,34.25,90,94.61,已回報,製造,順發,37
2026/6/14,中段,68.17,56,67.12,,營運,力鋼,164
0608,前段,92.57,133,71.71,已回報,研發,捷欣,146
2026/7/27,完成,84.47,208,4.3,,品保,永利,105
2026/7/16,中段,11.06,189,1.05,,研發,永利,235
2026/7/30,完成,29.7,138,35.31,待確認,製造,順發,194
